name,slug,ceo_name,ceo_linkedin,company_linkedin,eng,remote,job_website,description,stage,tags,industries,all_locations,team_size,batch,funding
Sunsama,sunsama,Ashutosh Priyadarshy,https://www.linkedin.com/in/ashutoshpriyadarshy,\N,false,false,https://www.ycombinator.com/companies/sunsama/jobs (could not find a dedicated career website),Daily planner for busy professionals,Early,"{productivity,scheduling}","{b2b,productivity}","Kailua, HI, USA; Oakland, CA, USA; Remote",7,Winter 2019,8250000
Spire Law,spire-law,Jesse Unruh,https://www.linkedin.com/in/jesse-unruh-5b857525/,https://www.linkedin.com/company/spire-law-firm/,false,false,https://www.ycombinator.com/companies/spire-law/jobs (could not find a dedicated career website),Tech enabled business and employment litigation law firm.,Early,"{b2b,legal}","{b2b,legal}","Orlando, FL, USA",10,Winter 2019,12000000
Centaur Labs,centaur-labs,Tom Gellatly,https://www.linkedin.com/in/tbgellatly,https://www.linkedin.com/company/centaur-labs/,false,true,https://centaur.ai//careers,Labeling medical data at scale,Early,"{artificial intelligence,crowdsourcing,data labeling}","{healthcare,healthcare it}","Boston, MA, USA",31,Winter 2019,110600000
Ultralight,ultralight,Adam Simmons,https://www.linkedin.com/in/adamjeansimmons/,\N,false,false,https://www.ycombinator.com/companies/ultralight/jobs (could not find a dedicated career website),"Universal, Pure-GPU HTML Renderer",Early,"{developer tools,hard tech,b2b,gaming,api}","{b2b,engineering, product and design}","San Francisco, CA, USA",1,Winter 2019,\N
Bottomless,bottomless,Liana Herrera,https://www.linkedin.com/in/lianaherrera/,\N,false,false,https://bottomless.com/careers,Building the first sensor enabled marketplace for repeat purchases,Early,"{marketplace,iot}","{consumer,food and beverage}","Seattle, WA, USA",2,Winter 2019,8850000
Kalshi,kalshi,Luana Lopes Lara,https://www.linkedin.com/in/luana-lopes-lara-3151068a,https://www.linkedin.com/company/kalshi/,true,true,https://www.kalshi.com/careers,1st federally regulated exchange where people can trade on events,Early,{trading},{fintech},"New York, NY, USA",50,Winter 2019,333500000
Pachama,pachama,Diego Saez Gil,https://www.linkedin.com/in/dsaezgil,https://www.linkedin.com/company/pachama/,false,false,http://pachama.com/careers,Restoring nature to solve climate change.,Early,"{carbon capture and removal,machine learning,climate}","{industrials,climate}","San Francisco, CA, USA; Remote",85,Winter 2019,880000075
Positive,positive,Schuyler Deerman,https://www.linkedin.com/in/schuylerdeerman/,https://www.linkedin.com/company/positivefoodco/,false,false,https://www.ycombinator.com/companies/positive/jobs (could not find a dedicated career website),B2B supplier of fresh/healthy packaged food,Early,"{consumer,logistics,supply chain,food tech,retail}","{consumer,food and beverage}","Los Angeles, CA, USA",47,Winter 2019,\N
The Juggernaut,the-juggernaut,Snigdha Sur,https://www.linkedin.com/in/snigdhasur/,https://www.linkedin.com/company/thejuggernaut,true,false,https://www.thejuggernaut.com//careers,The global community for the South Asia-curious,Early,"{consumer,community,subscriptions}","{consumer,content}","New York, NY, USA",5,Winter 2019,12000000
Canopy (was Encarte),encarte,George Fang,https://www.linkedin.com/in/fanggeorge/,\N,false,false,https://www.heycanopy.com//careers,Encarte is building 1-click checkout for all online stores.,Early,"{payments,e-commerce}","{fintech,payments}","San Francisco, CA, USA",2,Winter 2019,\N
Parker,parker,Milan Ray,https://www.linkedin.com/in/milan-ray/,\N,true,false,https://www.ycombinator.com/companies/parker/jobs (could not find a dedicated career website),Parker is a digital bank.,Early,"{banking as a service,fintech}","{fintech,banking and exchange}","San Francisco, CA, USA",10,Winter 2019,88500000
Intelline,intelline,Kyle Faller,https://www.linkedin.com/in/kyle-faller-272b42109/,https://www.linkedin.com/company/34746898/admin/,true,false,https://www.intelline.ca//careers,"We make generators that use 40% less fuel, with any fuel.",Early,"{alternative battery tech,hardware,alternative fuels,climate}","{industrials,manufacturing and robotics}","Waterloo, ON, Canada",3,Winter 2019,\N
Flockjay,flockjay,Shaan Hathiramani,https://www.linkedin.com/in/hathiramani/,https://www.linkedin.com/school/flockjay,true,true,https://flockjay.com/jobs,"AI-driven learning, content, and coaching for sales teams",Early,"{artificial intelligence,saas,elearning,productivity,sales}","{b2b,sales}","San Francisco, CA, USA; Remote",12,Winter 2019,14000000
Trexo Robotics,trexo-robotics,Manmeet Maggu,https://ca.linkedin.com/in/manmeetmaggu,https://linkedin.com/company/trexo-robotics,true,false,https://www.ycombinator.com/companies/trexo-robotics/jobs (could not find a dedicated career website),"Exoskeletons to help people walk, starting with children",Early,{medical robotics},"{healthcare,medical devices}","Toronto, ON, Canada",30,Winter 2019,16100000
Overview,overview,Austin Appel,https://www.linkedin.com/in/austin-appel-aa822b66/,https://www.linkedin.com/company/overview-ai/,true,true,https://www.ycombinator.com/companies/overview/jobs (could not find a dedicated career website),AI vision sensors for manufacturing,Early,"{deep learning,iot,computer vision}","{b2b,operations}","San Francisco, CA, USA",15,Winter 2019,\N
Searchlight,searchlight,Anna Wang,https://www.linkedin.com/in/annaxwang/,https://www.linkedin.com/company/searchlight-ai,false,false,https://www.ycombinator.com/companies/searchlight/jobs (could not find a dedicated career website),Talent AI improving quality of hire,Growth,"{machine learning,saas,ai}","{b2b,recruiting and talent}","San Francisco, CA, USA",20,Winter 2019,2500000
ZeroDown,zerodown,Abhijeet Dwivedi,https://linkedin.com/in/abhijeet-dwivedi-62b2571,\N,false,false,https://www.ycombinator.com/companies/zerodown/jobs (could not find a dedicated career website),Find beautiful homes,Growth,"{real estate,housing}","{real estate and construction,housing and real estate}","San Francisco, CA, USA; Remote",13,Winter 2019,1291625000
Balto,balto,Joel Karacozoff,https://linkedin.com/in/joelkaracozoff,\N,false,false,http://playbalto.com/careers,Acquired by FuboTV (NYSE: FUBO) - Contest automation software…,Early,"{sports tech,gaming}","{consumer,gaming}","San Francisco, CA, USA",5,Winter 2019,27050000
Catch,catch,Andrew Ambrosino,https://linkedin.com/in/ajambrosino,\N,false,false,http://www.catch.co/careers,Benefits for independent workers.,Growth,"{fintech,consumer,health insurance}","{fintech,consumer finance}","New York, NY, USA",18,Winter 2019,\N
Memfault,memfault,François Baldassari,https://www.linkedin.com/in/francois-baldassari-63a8b91a/,https://www.linkedin.com/company/memfault/,false,false,https://memfault.com/careers,"First IoT reliability platform for debugging, monitoring, OTA updates",Early,"{developer tools,saas,iot}","{b2b,analytics}","San Francisco, CA, USA",80,Winter 2019,12000000
Accept.inc (formerly BoardRE),accept-inc,Thom Adams,https://www.linkedin.com/in/nickolasfriedman/,\N,false,false,http://www.accept.inc/careers,BoardRE is a new type of mortgage company that upgrades any offer…,Early,"{fintech,real estate}","{fintech,credit and lending}","Denver, CO, USA",80,Winter 2019,\N
WorkClout,workclout,Richard Girges,https://www.linkedin.com/in/richard-girges-413b5873,https://www.linkedin.com/company/workclout,false,false,https://www.ycombinator.com/companies/workclout/jobs (could not find a dedicated career website),Safety & quality software for industrial sectors. ,Early,"{industrial workplace safety,saas}","{b2b,supply chain and logistics}","Los Angeles, CA, USA",6,Winter 2019,7150000
Allure Systems,allure-systems,Jeremy CHAMOUX,https://www.linkedin.com/in/j%C3%A9r%C3%A9my-chamoux-2593a27/,https://www.linkedin.com/company/allure-systems,false,false,https://www.ycombinator.com/companies/allure-systems/jobs (could not find a dedicated career website),A.I. to create stunning fashion images for eCommerce. ,Early,"{generative ai,computer vision,e-commerce,ai}","{b2b,retail}","New York, NY, USA",18,Winter 2019,\N
Slapdash,slapdash,Ivan Kanevski,https://www.linkedin.com/in/kanevski/,\N,false,false,https://www.ycombinator.com/companies/slapdash/jobs (could not find a dedicated career website),Work at the speed of thought,Early,"{developer tools,productivity}","{b2b,productivity}","San Francisco, CA, USA; Remote",6,Winter 2019,\N
Cocoon,cocoon,Alex Cornell,https://www.linkedin.com/in/alex-cornell-5449a99/,https://www.linkedin.com/company/31393176/,false,false,http://cocoon.com/careers,Bring your most important groups closer together,Early,"{team collaboration,collaboration}","{consumer,social}","San Francisco, CA, USA",6,Winter 2019,34200000
Doorport,doorport,Ben Taylor,https://linkedin.com/in/taylorbk,\N,false,false,https://www.ycombinator.com/companies/doorport/jobs (could not find a dedicated career website),Acquired by Alarm.com - We make existing apartment access smart.,Early,"{smart home assistants,iot}","{real estate and construction,housing and real estate}","New York, NY, USA",3,Winter 2019,825000
Askdata,askdata,Giuseppe Ancona,https://www.linkedin.com/in/gancona,https://www.askdata.com/in/askdata,false,false,https://www.ycombinator.com/companies/askdata/jobs (could not find a dedicated career website),Frictionless Data,Early,{artificial intelligence},"{b2b,analytics}","San Francisco, CA, USA",17,Winter 2019,15000000
Elph,elph,Ritik Malhotra,https://www.linkedin.com/in/ritikmalhotra/,\N,false,false,https://www.elph.com/careers,Acquired by Brex. Building digital payments infrastructure.,Early,"{payments,infrastructure}","{b2b,engineering, product and design}","San Francisco, CA, USA",5,Winter 2019,1457500
Docbot,docbot,Tyler Dao,https://www.linkedin.com/in/tylerdao,\N,false,false,https://www.ycombinator.com/companies/docbot/jobs (could not find a dedicated career website),,Growth,{},"{healthcare,healthcare it}","Los Angeles, CA, USA",0,Winter 2019,1200000
Atomic Alchemy,atomic-alchemy,Thomas Eiden,https://www.linkedin.com/in/thomaseiden,https://www.linkedin.com/company/atomic-alchemy-inc/,false,false,https://www.ycombinator.com/companies/atomic-alchemy/jobs (could not find a dedicated career website),We produce cancer-curing materials used in nuclear medicine.,Early,"{hard tech,small modular reactors,medical devices}","{industrials,manufacturing and robotics}","Idaho Falls, ID, USA",8,Winter 2019,1500000
Coursedog,coursedog,Nicholas Diao,https://www.linkedin.com/in/nicholas-diao-400054122/,https://www.linkedin.com/company/coursedog,false,false,http://coursedog.com/careers,Higher Ed's Best Friend - integrated academic operations software.,Early,"{education,saas}","{b2b,operations}","New York, NY, USA; Remote",100,Winter 2019,1128500000
Convex,convex,Charlie Warren,https://www.linkedin.com/in/chwarren/,https://www.linkedin.com/company/18320239/,false,false,https://www.convex.com/careers,Software for the commercial services industry. ,Growth,"{saas,proptech,enterprise}","{b2b,sales}","San Francisco, CA, USA",110,Winter 2019,41975000
Windsor,windsor,Pranay Prakash,https://linkedin.com/in/pranaygp,https://www.linkedin.com/company/windsorio,false,false,https://www.ycombinator.com/companies/windsor/jobs (could not find a dedicated career website),AI Powered Personalized Videos,Early,"{artificial intelligence,saas,b2b}",{b2b},"San Francisco, CA, USA; Remote",5,Winter 2019,1550000
Preflight,preflight,Mustafa Bayramoglu,https://linkedin.com/in/mustafa-bayramoglu-717a9197,https://www.linkedin.com/company/preflight,false,false,https://www.ycombinator.com/companies/preflight/jobs (could not find a dedicated career website),No-code Web Apps testing for everyone,Early,"{developer tools,saas,b2b}","{b2b,engineering, product and design}","Chicago, IL, USA; Remote",5,Winter 2019,12000000
